seed,experiment,condition,x,BS,H_norm,F_norm,M_norm
7801,formation,p=0.55,0,0.0,0.2149728238582611,0.0,0.0
7801,formation,p=0.55,1,0.0014363229274749756,1.9051491022109985,0.5122111439704895,0.1473749428987503
7801,formation,p=0.55,2,0.004531204700469971,2.6553077697753906,0.5120792984962463,0.5070961713790894
7801,formation,p=0.55,4,-0.00557178258895874,3.0489258766174316,0.5140466094017029,0.819476306438446
7801,formation,p=0.55,8,0.010811030864715576,3.1927967071533203,0.4966968595981598,1.0076022148132324
7801,formation,p=0.55,16,0.08400711417198181,3.2947988510131836,0.4921184182167053,1.084734320640564
7801,formation,p=0.55,32,0.15498769283294678,3.329831600189209,0.4837300777435303,1.1215124130249023
7801,formation,p=0.55,64,0.2538527250289917,3.325824737548828,0.44477546215057373,1.15349543094635
7801,formation,p=0.60,0,0.0,0.2149728238582611,0.0,0.0
7801,formation,p=0.60,1,0.0067293643951416016,1.8782836198806763,0.5095276236534119,0.1500425934791565
7801,formation,p=0.60,2,0.01731163263320923,2.6761879920959473,0.517959713935852,0.5030645728111267
7801,formation,p=0.60,4,0.15139877796173096,3.0271072387695312,0.5140417218208313,0.8252043128013611
7801,formation,p=0.60,8,0.2623787522315979,3.1671175956726074,0.4831255078315735,1.014905571937561
7801,formation,p=0.60,16,0.33719101548194885,3.304736614227295,0.49725666642189026,1.0881454944610596
7801,formation,p=0.60,32,0.3459545969963074,3.3763175010681152,0.4726683497428894,1.134847640991211
7801,formation,p=0.60,64,0.4746304452419281,3.4004321098327637,0.45356640219688416,1.1974246501922607
7801,formation,p=0.65,0,0.0,0.2149728238582611,0.0,0.0
7801,formation,p=0.65,1,0.05169793963432312,1.895776391029358,0.5123845338821411,0.1469630002975464
7801,formation,p=0.65,2,0.11424431204795837,2.665759325027466,0.5151636004447937,0.5051987171173096
7801,formation,p=0.65,4,0.2512923777103424,3.061772346496582,0.525288462638855,0.8237352967262268
7801,formation,p=0.65,8,0.31677886843681335,3.164759635925293,0.505627453327179,1.0150458812713623
7801,formation,p=0.65,16,0.445492148399353,3.278554916381836,0.49623000621795654,1.0986642837524414
7801,formation,p=0.65,32,0.5142313838005066,3.379885196685791,0.48177582025527954,1.1612842082977295
7801,formation,p=0.65,64,0.5743604898452759,3.4939372539520264,0.4501020610332489,1.2529149055480957
7801,formation,p=0.70,0,0.0,0.2149728238582611,0.0,0.0
7801,formation,p=0.70,1,0.04205501079559326,1.8782206773757935,0.5118062496185303,0.14765579998493195
7801,formation,p=0.70,2,0.09214803576469421,2.666260004043579,0.5149289965629578,0.5040078163146973
7801,formation,p=0.70,4,0.22176781296730042,3.0371253490448,0.5124952793121338,0.825361967086792
7801,formation,p=0.70,8,0.39440417289733887,3.1697750091552734,0.5083489418029785,1.0106592178344727
7801,formation,p=0.70,16,0.448612242937088,3.26137375831604,0.48746803402900696,1.1001673936843872
7801,formation,p=0.70,32,0.5523748397827148,3.3606653213500977,0.4813532531261444,1.1763391494750977
7801,formation,p=0.70,64,0.5892056226730347,3.4695546627044678,0.436471551656723,1.318082571029663
7801,persistence,unrelated_delay,0,0.4867522418498993,3.366830348968506,0.48174431920051575,1.152506709098816
7801,persistence,unrelated_delay,10,0.43630772829055786,3.1187779903411865,1.288561463356018,1.1502629518508911
7801,persistence,unrelated_delay,50,0.5338802337646484,5.656349182128906,1.3964773416519165,1.2036629915237427
7801,persistence,unrelated_delay,100,0.6356918215751648,9.083513259887695,1.3481158018112183,1.3055758476257324
7801,persistence,unrelated_delay,250,0.6816543340682983,19.11300277709961,1.306061029434204,1.562750220298767
7801,persistence,unrelated_delay,500,0.6931225657463074,35.49413299560547,1.2832272052764893,1.7375288009643555
7801,persistence,unrelated_delay,1000,0.6861135959625244,68.60774230957031,1.277904748916626,1.8078585863113403
7801,persistence,unrelated_delay,2000,0.6821774840354919,136.1416473388672,1.302303433418274,1.844758152961731
7801,persistence,unrelated_delay,5000,0.6685879230499268,341.9326171875,1.312195062637329,1.8995068073272705
7801,revision,opposing,0,0.4867522418498993,3.366830348968506,0.48174431920051575,1.152506709098816
7801,revision,opposing,1,0.4682016670703888,3.5483970642089844,0.4776310324668884,1.150370717048645
7801,revision,opposing,2,0.45833536982536316,3.556035041809082,0.481248140335083,1.1508917808532715
7801,revision,opposing,4,0.4223126471042633,3.5579288005828857,0.4825298488140106,1.147705078125
7801,revision,opposing,8,0.3904445767402649,3.5186715126037598,0.47516754269599915,1.1467899084091187
7801,revision,opposing,16,0.3109927475452423,3.4397172927856445,0.4738166034221649,1.140002727508545
7801,revision,opposing,32,0.0886756181716919,3.3532137870788574,0.4570521116256714,1.1441056728363037
7801,revision,opposing,64,-0.21295231580734253,3.3582210540771484,0.4550510346889496,1.1747639179229736
7801,revision,opposing,128,-0.4438275992870331,3.394014596939087,0.41572505235671997,1.2835021018981934
7802,formation,p=0.55,0,0.0,0.22255823016166687,0.0,0.0
7802,formation,p=0.55,1,0.0031143128871917725,2.1952428817749023,0.5708015561103821,0.022305766120553017
7802,formation,p=0.55,2,0.0021782517433166504,3.341830015182495,0.7086758613586426,0.13850677013397217
7802,formation,p=0.55,4,-0.00521773099899292,5.725244998931885,0.7849071025848389,0.3163723945617676
7802,formation,p=0.55,8,0.005719363689422607,9.296591758728027,0.7662427425384521,0.5494009256362915
7802,formation,p=0.55,16,-0.006395965814590454,16.082592010498047,0.7259112596511841,0.7994449734687805
7802,formation,p=0.55,32,-0.006339430809020996,30.410411834716797,0.6938652992248535,1.0049406290054321
7802,formation,p=0.55,64,-0.007225483655929565,61.17137908935547,0.6744810342788696,1.0926525592803955
7802,formation,p=0.60,0,0.0,0.22255823016166687,0.0,0.0
7802,formation,p=0.60,1,0.008489638566970825,2.1912107467651367,0.5708672404289246,0.022260533645749092
7802,formation,p=0.60,2,-0.0005310177803039551,3.347010850906372,0.7064885497093201,0.14042961597442627
7802,formation,p=0.60,4,-0.004073113203048706,5.758276462554932,0.7833775281906128,0.31751739978790283
7802,formation,p=0.60,8,-0.0011043548583984375,9.443769454956055,0.775058388710022,0.5468292236328125
7802,formation,p=0.60,16,-0.006171315908432007,16.387283325195312,0.7170636653900146,0.7881041169166565
7802,formation,p=0.60,32,-0.013519704341888428,30.84122085571289,0.6910523772239685,1.0000522136688232
7802,formation,p=0.60,64,-0.0028643012046813965,61.27779006958008,0.6789671182632446,1.093023657798767
7802,formation,p=0.65,0,0.0,0.22255823016166687,0.0,0.0
7802,formation,p=0.65,1,-0.0001767277717590332,2.199005603790283,0.5711666345596313,0.021947305649518967
7802,formation,p=0.65,2,0.0018607378005981445,3.3523120880126953,0.7096843719482422,0.13686811923980713
7802,formation,p=0.65,4,-0.006988197565078735,5.765868186950684,0.7886103391647339,0.31157276034355164
7802,formation,p=0.65,8,-0.00619158148765564,9.37165355682373,0.7705264091491699,0.5423696041107178
7802,formation,p=0.65,16,-0.004181504249572754,15.988906860351562,0.722573459148407,0.7971881031990051
7802,formation,p=0.65,32,-0.0017845630645751953,30.164276123046875,0.7022324800491333,1.0020087957382202
7802,formation,p=0.65,64,0.004772007465362549,60.505340576171875,0.6897934079170227,1.0951582193374634
7802,formation,p=0.70,0,0.0,0.22255823016166687,0.0,0.0
7802,formation,p=0.70,1,0.002413123846054077,2.1932365894317627,0.5710053443908691,0.0220960546284914
7802,formation,p=0.70,2,-0.00038495659828186035,3.3469903469085693,0.7097880244255066,0.13728368282318115
7802,formation,p=0.70,4,0.0018209517002105713,5.758552551269531,0.7862354516983032,0.31419336795806885
7802,formation,p=0.70,8,4.455447196960449e-05,9.363935470581055,0.7763857841491699,0.5444068908691406
7802,formation,p=0.70,16,0.0018125176429748535,16.10137176513672,0.7295317053794861,0.7955313324928284
7802,formation,p=0.70,32,-0.000695347785949707,30.136552810668945,0.6928961873054504,1.0065162181854248
7802,formation,p=0.70,64,-0.0030618607997894287,59.86690902709961,0.6884639263153076,1.0927459001541138
7802,persistence,unrelated_delay,0,-0.008457034826278687,29.990732192993164,0.6939302682876587,1.0022305250167847
7802,persistence,unrelated_delay,10,-0.006304562091827393,31.71112823486328,1.3126012086868286,0.9897531867027283
7802,persistence,unrelated_delay,50,-0.0015419721603393555,38.82538604736328,1.3497819900512695,1.0657309293746948
7802,persistence,unrelated_delay,100,0.004641622304916382,47.666419982910156,1.3385932445526123,1.1500966548919678
7802,persistence,unrelated_delay,250,0.004354238510131836,73.6432876586914,1.3202918767929077,1.2645962238311768
7802,persistence,unrelated_delay,500,0.003956139087677002,114.72428894042969,1.3123699426651,1.2976510524749756
7802,persistence,unrelated_delay,1000,0.0027129650115966797,191.28952026367188,1.310479760169983,1.3009288311004639
